Energieplanung Ippesheimer Weg 24, 55545 Bad Kreuznach (Winzenheim);;;;;;;;;;
Quelle PV-Monate: ODS Trend_Solarertrag (LibreOffice) 2012-2025; Abrechnung 2025 fuer Jahressummen;;;;;;;;;
Modell: Eigenverbrauch = min(PV; Last x Tagesoverlap); Erweiterung: Mehr-PV deckt zuerst verbleibenden Netzbezug;;;;;;;;
Gesamtverbrauch = Netzbezug + PV-Eigenverbrauch;;;;;;;;;;
;;;;;;;;;;
2025_Ist_Abrechnung;;;;;;;;;;
Monat;PV_Erzeugung_kWh;PV_Eigenverbrauch_kWh;PV_Einspeisung_kWh;Gesamtverbrauch_kWh;Netzbezug_kWh;;;;;
Januar;347;218;129;1813;1595;;;;;
Februar;657;291;366;1712;1421;;;;;
März;1180;628;552;1511;883;;;;;
April;1507;683;824;1410;727;;;;;
Mai;1689;851;838;1309;458;;;;;
Juni;1763;822;941;1209;387;;;;;
Juli;1764;742;1022;1209;467;;;;;
August;1578;799;779;1209;410;;;;;
September;1273;486;787;1410;924;;;;;
Oktober;785;294;491;1511;1217;;;;;
November;401;194;207;2518;2324;;;;;
Dezember;248;155;93;3324;3169;;;;;
SUMME;13192;6163;7029;20145;13982;;;;;
;;;;;;;;;;
2026_Prognose;;;;;;;;;;
Monat;PV_Erzeugung_kWh;PV_Eigenverbrauch_kWh;PV_Einspeisung_kWh;Gesamtverbrauch_kWh;Netzbezug_kWh;;;;;
Januar;334;250;84;2079;1829;;;;;
Februar;633;334;299;1963;1629;;;;;
März;1136;720;416;1733;1013;;;;;
April;1450;783;667;1617;834;;;;;
Mai;1626;976;650;1501;525;;;;;
Juni;1697;943;755;1386;444;;;;;
Juli;1699;851;848;1386;536;;;;;
August;1519;916;603;1386;470;;;;;
September;1226;557;669;1617;1060;;;;;
Oktober;756;337;419;1733;1396;;;;;
November;386;222;163;2887;2665;;;;;
Dezember;239;178;61;3812;3634;;;;;
SUMME;12701;7067;5634;23100;16035;;;;;
;;;;;;;;;;
2027_Basis_ohne_Erweiterung;;;;;;;;;;
Monat;PV_Erzeugung_kWh;PV_Eigenverbrauch_kWh;PV_Einspeisung_kWh;Gesamtverbrauch_kWh;Netzbezug_kWh;;;;;
Januar;342;254;88;2115;1861;;;;;
Februar;648;339;308;1997;1658;;;;;
März;1163;733;430;1763;1030;;;;;
April;1485;797;688;1645;848;;;;;
Mai;1664;993;672;1527;534;;;;;
Juni;1737;959;778;1410;451;;;;;
Juli;1739;866;873;1410;545;;;;;
August;1555;932;623;1410;478;;;;;
September;1255;567;688;1645;1078;;;;;
Oktober;774;343;431;1763;1420;;;;;
November;395;226;169;2937;2711;;;;;
Dezember;245;181;64;3878;3697;;;;;
SUMME;13002;7190;5812;23500;16311;;;;;
;;;;;;;;;;
2027_mit_GEDEA_13_34kWp;;;;;;;;;;
Monat;PV_Erzeugung_kWh;PV_Eigenverbrauch_kWh;PV_Einspeisung_kWh;Gesamtverbrauch_kWh;Netzbezug_kWh;;;;;
Januar;639;551;88;2115;1563;;;;;
Februar;1211;902;308;1997;1095;;;;;
März;2173;1743;430;1763;19;;;;;
April;2775;1645;1130;1645;0;;;;;
Mai;3111;1527;1584;1527;0;;;;;
